Buurtcombinaties (PC4 gebieden);|hoofdgebruik van het gebied [Hoofdbestemming]
11 Stadskern-zuid;Woon/Winkelgebied
12 Stadskern-noord;Woon/Winkelgebied
13 Oosterpark;Woongebied
14 Korreweg;Woongebied
15 Indischebuurt;Woongebied
16 De Hoogte;Woongebied
17 Oranjebuurt;Woongebied
18 Schildersbuurt;Woongebied
21 De Wijert;Woongebied
22 Coendersborg;Woongebied
23 Euvelgunne;Werkgebied
24 Oosterpoort;Woongebied
25 Hereweg;Woongebied
26 Zeeheldenbuurt;Woongebied
27 Stadspark;Woongebied
28 Corpus den Hoorn;Woongebied
31 Oosterhoogebrug;Woongebied
32 Lewenborg-zuid;Woongebied
33 Lewenborg-noord;Woongebied
34 Noorddijk;Woongebied
35 Bovenstreek;Buiten/Groengebied
36 Beijum-oost;Woongebied
37 Beijum-west;Woongebied
38 Noorderhoogebrug;Buiten/Groengebied
41 Selwerd;Woongebied
42 Paddepoel;Woongebied
43 Vinkhuizen;Woongebied
44 Hoogkerk-zuid;Woongebied
45 Hoogkerk-noord;Woongebied
46 Dorkwerd;Woongebied
47 Universiteitscomplex;Werkgebied
Onbekend in Groningen;
Buiten Groningen;
9613 Meerstad (voorlopig);
